주소,y,x,수,코드
서울특별시 구로구 가리봉동,37.48253275,126.8897181,60,11530103
서울특별시 구로구 고척동,37.50139774,126.8635571,507,11530106
서울특별시 구로구 개봉동,37.49301153,126.8577466,769,11530107
서울특별시 구로구 오류동,37.48894613,126.8354925,448,11530108
서울특별시 구로구 궁동,37.50187311,126.8274572,122,11530109
서울특별시 구로구 온수동,37.49414667,126.8205861,111,11530110
서울특별시 구로구 천왕동,37.48027741,126.8399932,116,11530111
서울특별시 구로구 항동,37.48018531,126.8234098,240,11530112
서울특별시 금천구 가산동,37.47687632,126.8917795,849,11545101
서울특별시 금천구 독산동,37.46814325,126.899393,955,11545102
서울특별시 금천구 시흥동,37.4476688,126.9084522,947,11545103
서울특별시 영등포구 영등포동,37.51340461,126.9061596,160,11560101
서울특별시 영등포구 영등포동1가,37.51783931,126.9131853,54,11560102
서울특별시 영등포구 영등포동2가,37.52079696,126.9115077,46,11560103
서울특별시 영등포구 영등포동3가,37.51827138,126.9078774,6,11560104
서울특별시 영등포구 영등포동4가,37.5178895,126.9035523,26,11560105
서울특별시 영등포구 영등포동5가,37.52107437,126.9066884,17,11560106
서울특별시 영등포구 영등포동6가,37.52159051,126.9031674,21,11560107
서울특별시 영등포구 영등포동7가,37.52401557,126.9071146,152,11560108
서울특별시 영등포구 영등포동8가,37.52830286,126.9052539,94,11560109
서울특별시 영등포구 여의도동,37.52678492,126.9301671,2686,11560110
서울특별시 영등포구 당산동1가,37.52166231,126.8985474,62,11560111
서울특별시 영등포구 당산동2가,37.52246538,126.8937363,65,11560112
서울특별시 영등포구 당산동3가,37.52584858,126.8967136,162,11560113
서울특별시 영등포구 당산동4가,37.5290654,126.8990759,250,11560114
서울특별시 영등포구 당산동5가,37.53209817,126.9012033,256,11560115
서울특별시 영등포구 당산동6가,37.53379495,126.9047356,34,11560116
서울특별시 영등포구 당산동,37.54025842,126.9021657,124,11560117
서울특별시 영등포구 도림동,37.50943884,126.8959445,187,11560118
서울특별시 영등포구 문래동1가,37.51227971,126.8969811,12,11560119
서울특별시 영등포구 문래동2가,37.51274475,126.8930579,18,11560120
서울특별시 영등포구 문래동3가,37.51659718,126.8968168,252,11560121
서울특별시 영등포구 문래동4가,37.51445729,126.8898295,28,11560122
서울특별시 영등포구 문래동5가,37.51628656,126.8844154,87,11560123
서울특별시 영등포구 문래동6가,37.51948205,126.8868222,201,11560124
서울특별시 영등포구 양평동1가,37.52346221,126.8882234,84,11560125
서울특별시 영등포구 양평동2가,37.52348532,126.8823364,96,11560126
서울특별시 영등포구 양평동3가,37.52936818,126.8910158,258,11560127
서울특별시 영등포구 양평동4가,37.53693094,126.8967662,110,11560128
서울특별시 영등포구 양평동5가,37.53935636,126.8926397,126,11560129
서울특별시 영등포구 양평동6가,37.54232769,126.8905036,65,11560130
서울특별시 영등포구 양화동,37.5496246,126.8854549,1,11560131
서울특별시 영등포구 신길동,37.50416632,126.9140697,1096,11560132
서울특별시 영등포구 대림동,37.49250872,126.9020063,463,11560133
서울특별시 영등포구 양평동,37.52821709,126.8857139,0,11560047
서울특별시 동작구 노량진동,37.51070581,126.9403933,294,11590101
서울특별시 동작구 상도동,37.49851631,126.9390142,1268,11590102
서울특별시 동작구 상도1동,37.50323182,126.9497453,85,11590103
서울특별시 동작구 본동,37.51302936,126.9542043,178,11590104
서울특별시 동작구 흑석동,37.50577502,126.9665908,483,11590105
서울특별시 동작구 동작동,37.49921393,126.9738766,108,11590106
서울특별시 동작구 사당동,37.48393267,126.9731357,1090,11590107
서울특별시 동작구 대방동,37.50816426,126.9263435,420,11590108
서울특별시 동작구 신대방동,37.4930125,126.9149419,498,11590109
서울특별시 관악구 봉천동,37.48253849,126.9521652,2151,11620101
서울특별시 관악구 신림동,37.48741277,126.9271237,1762,11620102
서울특별시 관악구 남현동,37.47456676,126.9778465,218,11620103
서울특별시 서초구 방배동,37.48341301,126.994487,1940,11650101
